0.19618390245888165: {'no_components': 20, 'method': 'positive_negative', 'threshold': 3.5}
0.19628397632405412: {'no_components': 10, 'method': 'positive_negative', 'threshold': 3.5}
0.19639620126286447: {'no_components': 16, 'method': 'positive_negative', 'threshold': 3.5}
0.19649097320313152: {'no_components': 28, 'method': 'positive_negative', 'threshold': 3.5}
0.19652058261437882: {'no_components': 22, 'method': 'positive_negative', 'threshold': 3.5}
0.19661664470674284: {'no_components': 14, 'method': 'positive_negative', 'threshold': 3.5}
0.1968404598128733: {'no_components': 12, 'method': 'positive_negative', 'threshold': 3.5}
0.19685110409170772: {'no_components': 24, 'method': 'positive_negative', 'threshold': 3.5}
0.19692777301125367: {'no_components': 30, 'method': 'positive_negative', 'threshold': 3.5}
0.19706360661301642: {'no_components': 26, 'method': 'positive_negative', 'threshold': 3.5}
0.19721043251182277: {'no_components': 18, 'method': 'positive_negative', 'threshold': 3.5}
0.21724390629805926: {'no_components': 22, 'method': 'positive_negative', 'threshold': 3.0}
0.21752896066255234: {'no_components': 16, 'method': 'positive_negative', 'threshold': 3.0}
0.21769362312135784: {'no_components': 30, 'method': 'positive_negative', 'threshold': 3.0}
0.2177730585347219: {'no_components': 10, 'method': 'positive_negative', 'threshold': 3.0}
0.21787813919461135: {'no_components': 20, 'method': 'positive_negative', 'threshold': 3.0}
0.21810376226625955: {'no_components': 18, 'method': 'positive_negative', 'threshold': 3.0}
0.2181227149156893: {'no_components': 14, 'method': 'positive_negative', 'threshold': 3.0}
0.21816304807950707: {'no_components': 24, 'method': 'positive_negative', 'threshold': 3.0}
0.21817530515659786: {'no_components': 28, 'method': 'positive_negative', 'threshold': 3.0}
0.2183474847241072: {'no_components': 26, 'method': 'positive_negative', 'threshold': 3.0}
0.21837170816700735: {'no_components': 12, 'method': 'positive_negative', 'threshold': 3.0}
0.2228985343078782: {'no_components': 20, 'method': 'positive_negative', 'threshold': 2.5}
0.22297278550137145: {'no_components': 26, 'method': 'positive_negative', 'threshold': 2.5}
0.2230704234743021: {'no_components': 30, 'method': 'positive_negative', 'threshold': 2.5}
0.22316492750813235: {'no_components': 16, 'method': 'positive_negative', 'threshold': 2.5}
0.22319790843702286: {'no_components': 18, 'method': 'positive_negative', 'threshold': 2.5}
0.2232381562119757: {'no_components': 28, 'method': 'positive_negative', 'threshold': 2.5}
0.2232869201456011: {'no_components': 12, 'method': 'positive_negative', 'threshold': 2.5}
0.22332607649878855: {'no_components': 22, 'method': 'positive_negative', 'threshold': 2.5}
0.22335316578141634: {'no_components': 10, 'method': 'positive_negative', 'threshold': 2.5}
0.22352822892963053: {'no_components': 14, 'method': 'positive_negative', 'threshold': 2.5}
0.22363614787759128: {'no_components': 24, 'method': 'positive_negative', 'threshold': 2.5}
0.22529451228909228: {'no_components': 24, 'method': 'positive_negative', 'threshold': 2.0}
0.22533109416617184: {'no_components': 12, 'method': 'positive_negative', 'threshold': 2.0}
0.22541181710224123: {'no_components': 20, 'method': 'positive_negative', 'threshold': 2.0}
0.2254680200078285: {'no_components': 10, 'method': 'positive_negative', 'threshold': 2.0}
0.2255162196036035: {'no_components': 22, 'method': 'positive_negative', 'threshold': 2.0}
0.22558551636065943: {'no_components': 26, 'method': 'positive_negative', 'threshold': 2.0}
0.22567644278952467: {'no_components': 18, 'method': 'positive_negative', 'threshold': 2.0}
0.22569293724193723: {'no_components': 14, 'method': 'positive_negative', 'threshold': 2.0}
0.22579536093335326: {'no_components': 28, 'method': 'positive_negative', 'threshold': 2.0}
0.22584244321574598: {'no_components': 16, 'method': 'positive_negative', 'threshold': 2.0}
0.22597612295826672: {'no_components': 30, 'method': 'positive_negative', 'threshold': 2.0}
