0.222971457244349: {'no_components': 30, 'method': 'positive_negative', 'threshold': 2.5}
0.21767794533872037: {'no_components': 30, 'method': 'positive_negative', 'threshold': 3.0}
0.22292841684431036: {'no_components': 35, 'method': 'positive_negative', 'threshold': 2.5}
0.21796055119277283: {'no_components': 35, 'method': 'positive_negative', 'threshold': 3.0}
0.22303715726817744: {'no_components': 40, 'method': 'positive_negative', 'threshold': 2.5}
0.21819695524863958: {'no_components': 40, 'method': 'positive_negative', 'threshold': 3.0}
0.22340329319430124: {'no_components': 45, 'method': 'positive_negative', 'threshold': 2.5}
0.21728702303657527: {'no_components': 45, 'method': 'positive_negative', 'threshold': 3.0}
0.22274411185454732: {'no_components': 50, 'method': 'positive_negative', 'threshold': 2.5}
0.2177508369438689: {'no_components': 50, 'method': 'positive_negative', 'threshold': 3.0}
0.2230618635839067: {'no_components': 55, 'method': 'positive_negative', 'threshold': 2.5}
0.2183667326127033: {'no_components': 55, 'method': 'positive_negative', 'threshold': 3.0}
0.2229453997866723: {'no_components': 60, 'method': 'positive_negative', 'threshold': 2.5}
0.21811104043723986: {'no_components': 60, 'method': 'positive_negative', 'threshold': 3.0}
0.22312907162843648: {'no_components': 65, 'method': 'positive_negative', 'threshold': 2.5}
0.21809640001945924: {'no_components': 65, 'method': 'positive_negative', 'threshold': 3.0}
0.22320688987882495: {'no_components': 70, 'method': 'positive_negative', 'threshold': 2.5}
0.21833902500101768: {'no_components': 70, 'method': 'positive_negative', 'threshold': 3.0}
0.22315785362268672: {'no_components': 75, 'method': 'positive_negative', 'threshold': 2.5}
0.21786737745375723: {'no_components': 75, 'method': 'positive_negative', 'threshold': 3.0}
