0.2316355141280218: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23118828167669392: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23116509009680652: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22978411945910016: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.24385414708420736: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24673242096705034: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24232642524308803: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24130376213961258: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23168898349097589: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23573068456010252: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23665634456961399: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2309053105006284: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2334211999432824: {'no_components': 35, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23202478372249163: {'no_components': 35, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23046725332152648: {'no_components': 35, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22813009318261418: {'no_components': 35, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.24690459307899798: {'no_components': 35, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24956660600921476: {'no_components': 35, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24315198741312685: {'no_components': 35, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24418240237169453: {'no_components': 35, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23760082291888204: {'no_components': 35, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23502988828264026: {'no_components': 35, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.2346962726439485: {'no_components': 35, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23431274945783: {'no_components': 35, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2316288479398141: {'no_components': 40, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.2323479421214814: {'no_components': 40, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23179857431815792: {'no_components': 40, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.22768343183762968: {'no_components': 40, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.25167053457798916: {'no_components': 40, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.2505160670608779: {'no_components': 40, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2472430036820116: {'no_components': 40, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24767661017446674: {'no_components': 40, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23081175022973882: {'no_components': 40, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23454566713759614: {'no_components': 40, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23153322292698167: {'no_components': 40, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22756565842358262: {'no_components': 40, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2304946339349648: {'no_components': 45, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23245529128660553: {'no_components': 45, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23157332809386938: {'no_components': 45, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23182139954918438: {'no_components': 45, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2534174641790129: {'no_components': 45, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24987006398413908: {'no_components': 45, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2510218168934208: {'no_components': 45, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24912089744064048: {'no_components': 45, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.239229348191833: {'no_components': 45, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23685089710595042: {'no_components': 45, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.2358166718166487: {'no_components': 45, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23715366746161157: {'no_components': 45, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23593554458473592: {'no_components': 50, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23613369829970435: {'no_components': 50, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23359316221541987: {'no_components': 50, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23140702021095452: {'no_components': 50, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2521485743790173: {'no_components': 50, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.249898765647748: {'no_components': 50, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24845260626923132: {'no_components': 50, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24740171430209798: {'no_components': 50, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24110565554568614: {'no_components': 50, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.2393170854597848: {'no_components': 50, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.24264570722898698: {'no_components': 50, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23661078138034258: {'no_components': 50, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23674374280111743: {'no_components': 55, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.2352553563370428: {'no_components': 55, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23667020929967092: {'no_components': 55, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23193671120474785: {'no_components': 55, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2538531026726704: {'no_components': 55, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.25202645304929183: {'no_components': 55, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2499455277620764: {'no_components': 55, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.25135753249305554: {'no_components': 55, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24110680801749043: {'no_components': 55, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.2418546897615686: {'no_components': 55, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23946606453124453: {'no_components': 55, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.23784350665177967: {'no_components': 55, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23586832207791741: {'no_components': 60, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23467470374516325: {'no_components': 60, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.2358123750340526: {'no_components': 60, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23645359472352742: {'no_components': 60, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2559989654680579: {'no_components': 60, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.2530032485844512: {'no_components': 60, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2513717994944636: {'no_components': 60, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.25038428351917846: {'no_components': 60, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.2415119749345911: {'no_components': 60, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.24062022312773537: {'no_components': 60, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23696736880273717: {'no_components': 60, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2335295073531772: {'no_components': 60, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23607550753265896: {'no_components': 65, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23841910396053145: {'no_components': 65, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23820937547893123: {'no_components': 65, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.2353728201828255: {'no_components': 65, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.25363204248379434: {'no_components': 65, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.25572264483113805: {'no_components': 65, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2507183969138156: {'no_components': 65, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24994034429077921: {'no_components': 65, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24032309621297787: {'no_components': 65, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.2425935611049963: {'no_components': 65, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.24129232783317428: {'no_components': 65, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2366112959555519: {'no_components': 65, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23912855034321004: {'no_components': 70, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23750199854506357: {'no_components': 70, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.23678045848964596: {'no_components': 70, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.5}
0.23468855044212306: {'no_components': 70, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.2555862225602552: {'no_components': 70, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
