0.12136510699267256: {'no_components': 10, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.12221544341836339: {'no_components': 10, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.12366389125148573: {'no_components': 10, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.125094472924197: {'no_components': 12, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.12734967139231618: {'no_components': 10, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.12867927871540158: {'no_components': 12, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.12972990890093083: {'no_components': 12, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.1360855507670763: {'no_components': 14, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.13852222879964624: {'no_components': 12, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.1410238746164007: {'no_components': 14, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.14123106220272919: {'no_components': 16, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.14595683166154472: {'no_components': 16, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.14806141924372754: {'no_components': 14, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.14837070002383637: {'no_components': 10, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.14845578735302883: {'no_components': 16, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.14937138625290894: {'no_components': 10, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.1497326518013722: {'no_components': 18, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.14988836128183175: {'no_components': 18, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.15123224892580184: {'no_components': 16, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.15379084029029522: {'no_components': 14, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.15650644221111082: {'no_components': 10, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.15666671826095624: {'no_components': 18, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.15688980119391807: {'no_components': 18, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.15701611897933207: {'no_components': 20, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.1575379034174043: {'no_components': 20, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.16060832301587807: {'no_components': 20, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.161911275363191: {'no_components': 10, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.1637878890699618: {'no_components': 20, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.16380217713943296: {'no_components': 24, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.16402809454319273: {'no_components': 22, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.1641270799906601: {'no_components': 12, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.16668047519913679: {'no_components': 22, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.16695451099009953: {'no_components': 24, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.16713558618106505: {'no_components': 24, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.1678530451314077: {'no_components': 24, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.16858851035352837: {'no_components': 26, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.16862583750840615: {'no_components': 28, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.17183885259605977: {'no_components': 22, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.17335670274367815: {'no_components': 22, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.17354226813574775: {'no_components': 26, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.17359546699783682: {'no_components': 14, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.1738173649411362: {'no_components': 12, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.17387697531955806: {'no_components': 26, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.17424913652398696: {'no_components': 28, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.17506049680278732: {'no_components': 28, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.17560019350138917: {'no_components': 12, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.17688117389220984: {'no_components': 30, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 1.5}
0.17694766661535682: {'no_components': 12, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.1770108323331126: {'no_components': 18, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.17739643687152484: {'no_components': 30, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.17742978778677193: {'no_components': 30, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.1777961968922412: {'no_components': 30, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 3.0}
0.17911895597641467: {'no_components': 26, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.0}
0.17918914826309962: {'no_components': 16, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.18077410122096094: {'no_components': 28, 'loss': 'warp-kos', 'k': 5, 'method': 'zero_one', 'threshold': 2.5}
0.18223829617450166: {'no_components': 14, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.18277908580787058: {'no_components': 16, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.18299967718209956: {'no_components': 14, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.18333373497041294: {'no_components': 14, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.18501641079684977: {'no_components': 16, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.1858063474480969: {'no_components': 10, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.18914883903184493: {'no_components': 22, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.18953191840002606: {'no_components': 16, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.18996596397626203: {'no_components': 20, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.1903440859785629: {'no_components': 18, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.19099526211686763: {'no_components': 18, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.19101394453669576: {'no_components': 20, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.19236523559682447: {'no_components': 18, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.19241549446706915: {'no_components': 10, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.19320252096959686: {'no_components': 22, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.1936998193177765: {'no_components': 10, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.19387957980784148: {'no_components': 22, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.1960811147108888: {'no_components': 26, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.19663249773991592: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.1972550074206751: {'no_components': 22, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.19828356561604527: {'no_components': 24, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.19834066779446327: {'no_components': 20, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.19848187297910952: {'no_components': 26, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.1989341577230898: {'no_components': 26, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.1989995922903702: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.2005855681952565: {'no_components': 20, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.20063758830348327: {'no_components': 24, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.20073872699695747: {'no_components': 30, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.20151082580046914: {'no_components': 24, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.20154968609573257: {'no_components': 24, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.2019473244694129: {'no_components': 30, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.5}
0.202547578490932: {'no_components': 30, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 3.0}
0.20365430551365668: {'no_components': 30, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.20370536698754638: {'no_components': 10, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.20375421409420022: {'no_components': 26, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.2057356064216605: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 1.5}
0.2064568565723423: {'no_components': 28, 'loss': 'warp-kos', 'k': 4, 'method': 'zero_one', 'threshold': 2.0}
0.20653709071365428: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.20715071873704666: {'no_components': 12, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
